id,abilities,name,weight,ThumbnailAltText,weakness,number,height,collectibles_slug,featured,ThumbnailImage,threat_type,slug
150,FilterSoundproof,Mr. Mime,120.1,Mr. Mime,Ghost Steel Poison,122,51,mr-mime,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/122.png,psychic fairy,mr-mime
151,SwarmTechnician,Scyther,123.5,Scyther,Rock Electric Fire Flying Ice,123,59,scyther,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/123.png,bug flying,scyther
152,ForewarnOblivious,Jynx,89.5,Jynx,Bug Dark Fire Ghost Rock Steel,124,55,jynx,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/124.png,ice psychic,jynx
153,Static,Electabuzz,66.1,Electabuzz,Ground,125,43,electabuzz,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/125.png,electric,electabuzz
154,Flame Body,Magmar,98.1,Magmar,Ground Rock Water,126,51,magmar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/126.png,fire,magmar
155,Aerilate,Pinsir,130.1,Pinsir,Fire Flying Electric Ice Rock,127,67,pinsir,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png,bug flying,pinsir
156,Hyper CutterMold Breaker,Pinsir,121.3,Pinsir,Fire Flying Rock,127,59,pinsir,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png,bug,pinsir
157,Anger PointIntimidate,Tauros,194.9,Tauros,Fighting,128,55,tauros,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/128.png,normal,tauros
158,Swift Swim,Magikarp,22,Magikarp,Electric Grass,129,35,magikarp,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/129.png,water,magikarp
159,Mold Breaker,Gyarados,672.4,Gyarados,Fairy Grass Electric Fighting Bug,130,256,gyarados,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png,water dark,gyarados
160,Intimidate,Gyarados,518.1,Gyarados,Electric Rock,130,256,gyarados,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png,water flying,gyarados
161,Shell ArmorWater Absorb,Lapras,485,Lapras,Electric Fighting Grass Rock,131,98,lapras,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/131.png,water ice,lapras
162,Limber,Ditto,8.8,Ditto,Fighting,132,12,ditto,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/132.png,normal,ditto
163,AdaptabilityRun Away,Eevee,14.3,Eevee,Fighting,133,12,eevee,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/133.png,normal,eevee
164,Water Absorb,Vaporeon,63.9,Vaporeon,Electric Grass,134,39,vaporeon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/134.png,water,vaporeon
165,Volt Absorb,Jolteon,54,Jolteon,Ground,135,31,jolteon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/135.png,electric,jolteon
166,Flash Fire,Flareon,55.1,Flareon,Ground Rock Water,136,35,flareon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/136.png,fire,flareon
167,DownloadTrace,Porygon,80.5,Porygon,Fighting,137,31,porygon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/137.png,normal,porygon
168,Shell ArmorSwift Swim,Omanyte,16.5,Omanyte,Grass Electric Fighting Ground,138,16,omanyte,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/138.png,rock water,omanyte
169,Shell ArmorSwift Swim,Omastar,77.2,Omastar,Grass Electric Fighting Ground,139,39,omastar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/139.png,rock water,omastar
170,Battle ArmorSwift Swim,Kabuto,25.4,Kabuto,Grass Electric Fighting Ground,140,20,kabuto,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/140.png,rock water,kabuto
171,Battle ArmorSwift Swim,Kabutops,89.3,Kabutops,Grass Electric Fighting Ground,141,51,kabutops,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/141.png,rock water,kabutops
172,Tough Claws,Aerodactyl,174.2,Aerodactyl,Steel Electric Water Ice Rock,142,83,aerodactyl,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png,rock flying,aerodactyl
173,PressureRock Head,Aerodactyl,130.1,Aerodactyl,Electric Ice Rock Steel Water,142,71,aerodactyl,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png,rock flying,aerodactyl
174,ImmunityThick Fat,Snorlax,1014.1,Snorlax,Fighting,143,83,snorlax,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/143.png,normal,snorlax
175,Pressure,Articuno,122.1,Articuno,Rock Electric Fire Steel,144,67,articuno,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/144.png,ice flying,articuno
176,Pressure,Zapdos,116,Zapdos,Ice Rock,145,63,zapdos,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/145.png,electric flying,zapdos
177,Pressure,Moltres,132.3,Moltres,Rock Electric Water,146,79,moltres,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/146.png,fire flying,moltres
178,Shed Skin,Dratini,7.3,Dratini,Dragon Ice Fairy,147,71,dratini,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/147.png,dragon,dratini
179,Shed Skin,Dragonair,36.4,Dragonair,Dragon Ice Fairy,148,157,dragonair,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/148.png,dragon,dragonair
180,Inner Focus,Dragonite,463,Dragonite,Ice Dragon Rock Fairy,149,87,dragonite,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/149.png,dragon flying,dragonite
181,Insomnia,Mewtwo,72.8,Mewtwo,Ghost Dark Bug,150,59,mewtwo,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png,psychic,mewtwo
182,Steadfast,Mewtwo,280,Mewtwo,Ghost Flying Fairy,150,91,mewtwo,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png,psychic fighting,mewtwo
183,Pressure,Mewtwo,269,Mewtwo,Bug Dark Ghost,150,79,mewtwo,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png,psychic,mewtwo
184,Synchronize,Mew,8.8,Mew,Bug Dark Ghost,151,16,mew,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/151.png,psychic,mew
185,Overgrow,Chikorita,14.1,Chikorita,Bug Fire Flying Ice Poison,152,35,chikorita,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/152.png,grass,chikorita
186,Overgrow,Bayleef,34.8,Bayleef,Bug Fire Flying Ice Poison,153,47,bayleef,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/153.png,grass,bayleef
187,Overgrow,Meganium,221.6,Meganium,Bug Fire Flying Ice Poison,154,71,meganium,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/154.png,grass,meganium
188,Blaze,Cyndaquil,17.4,Cyndaquil,Ground Rock Water,155,20,cyndaquil,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/155.png,fire,cyndaquil
189,Blaze,Quilava,41.9,Quilava,Ground Rock Water,156,35,quilava,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/156.png,fire,quilava
190,Blaze,Typhlosion,175.3,Typhlosion,Ground Rock Water,157,67,typhlosion,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/157.png,fire,typhlosion
191,Torrent,Totodile,20.9,Totodile,Electric Grass,158,24,totodile,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/158.png,water,totodile
192,Torrent,Croconaw,55.1,Croconaw,Electric Grass,159,43,croconaw,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/159.png,water,croconaw
193,Torrent,Feraligatr,195.8,Feraligatr,Electric Grass,160,91,feraligatr,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/160.png,water,feraligatr
194,Keen EyeRun Away,Sentret,13.2,Sentret,Fighting,161,31,sentret,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/161.png,normal,sentret
195,Keen EyeRun Away,Furret,71.6,Furret,Fighting,162,71,furret,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/162.png,normal,furret
196,InsomniaKeen Eye,Hoothoot,46.7,Hoothoot,Electric Ice Rock,163,28,hoothoot,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/163.png,normal flying,hoothoot
197,InsomniaKeen Eye,Noctowl,89.9,Noctowl,Electric Ice Rock,164,63,noctowl,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/164.png,normal flying,noctowl
198,Early BirdSwarm,Ledyba,23.8,Ledyba,Rock Electric Fire Flying Ice,165,39,ledyba,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/165.png,bug flying,ledyba
199,Early BirdSwarm,Ledian,78.5,Ledian,Rock Electric Fire Flying Ice,166,55,ledian,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/166.png,bug flying,ledian
200,InsomniaSwarm,Spinarak,18.7,Spinarak,Fire Flying Psychic Rock,167,20,spinarak,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/167.png,bug poison,spinarak
201,InsomniaSwarm,Ariados,73.9,Ariados,Fire Flying Psychic Rock,168,43,ariados,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/168.png,bug poison,ariados
202,Inner Focus,Crobat,165.3,Crobat,Electric Ice Psychic Rock,169,71,crobat,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/169.png,poison flying,crobat
203,IlluminateVolt Absorb,Chinchou,26.5,Chinchou,Grass Ground,170,20,chinchou,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/170.png,water electric,chinchou
204,IlluminateVolt Absorb,Lanturn,49.6,Lanturn,Grass Ground,171,47,lanturn,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/171.png,water electric,lanturn
205,Static,Pichu,4.4,Pichu,Ground,172,12,pichu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/172.png,electric,pichu
206,Cute CharmMagic Guard,Cleffa,6.6,Cleffa,Steel Poison,173,12,cleffa,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/173.png,fairy,cleffa
207,CompetitiveCute Charm,Igglybuff,2.2,Igglybuff,Steel Poison,174,12,igglybuff,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/174.png,normal fairy,igglybuff
208,HustleSerene Grace,Togepi,3.3,Togepi,Steel Poison,175,12,togepi,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/175.png,fairy,togepi
209,HustleSerene Grace,Togetic,7.1,Togetic,Electric Ice Rock Steel Poison,176,24,togetic,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/176.png,fairy flying,togetic
210,Early BirdSynchronize,Natu,4.4,Natu,Dark Electric Ghost Ice Rock,177,8,natu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/177.png,psychic flying,natu
211,Early BirdSynchronize,Xatu,33.1,Xatu,Dark Electric Ghost Ice Rock,178,59,xatu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/178.png,psychic flying,xatu
212,Static,Mareep,17.2,Mareep,Ground,179,24,mareep,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/179.png,electric,mareep
213,Static,Flaaffy,29.3,Flaaffy,Ground,180,31,flaaffy,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/180.png,electric,flaaffy
214,Mold Breaker,Ampharos,135.6,Ampharos,Fairy Dragon Ice Ground,181,55,ampharos,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/181.png,electric dragon,ampharos
215,Static,Ampharos,135.6,Ampharos,Ground,181,55,ampharos,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/181.png,electric,ampharos
216,Chlorophyll,Bellossom,12.8,Bellossom,Bug Fire Flying Ice Poison,182,16,bellossom,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/182.png,grass,bellossom
217,Huge PowerThick Fat,Marill,18.7,Marill,Electric Grass Poison,183,16,marill,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/183.png,water fairy,marill
218,Huge PowerThick Fat,Azumarill,62.8,Azumarill,Electric Grass Poison,184,31,azumarill,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/184.png,water fairy,azumarill
219,Rock HeadSturdy,Sudowoodo,83.8,Sudowoodo,Fighting Grass Ground Steel Water,185,47,sudowoodo,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/185.png,rock,sudowoodo
220,DampWater Absorb,Politoed,74.7,Politoed,Electric Grass,186,43,politoed,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/186.png,water,politoed
221,ChlorophyllLeaf Guard,Hoppip,1.1,Hoppip,Ice Fire Flying Poison Rock,187,16,hoppip,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/187.png,grass flying,hoppip
222,ChlorophyllLeaf Guard,Skiploom,2.2,Skiploom,Ice Fire Flying Poison Rock,188,24,skiploom,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/188.png,grass flying,skiploom
223,ChlorophyllLeaf Guard,Jumpluff,6.6,Jumpluff,Ice Fire Flying Poison Rock,189,31,jumpluff,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/189.png,grass flying,jumpluff
224,PickupRun Away,Aipom,25.4,Aipom,Fighting,190,31,aipom,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/190.png,normal,aipom
225,ChlorophyllSolar Power,Sunkern,4,Sunkern,Bug Fire Flying Ice Poison,191,12,sunkern,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/191.png,grass,sunkern
226,ChlorophyllSolar Power,Sunflora,18.7,Sunflora,Bug Fire Flying Ice Poison,192,31,sunflora,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/192.png,grass,sunflora
227,Compound EyesSpeed Boost,Yanma,83.8,Yanma,Rock Electric Fire Flying Ice,193,47,yanma,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/193.png,bug flying,yanma
228,DampWater Absorb,Wooper,18.7,Wooper,Grass,194,16,wooper,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/194.png,water ground,wooper
229,DampWater Absorb,Quagsire,165.3,Quagsire,Grass,195,55,quagsire,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/195.png,water ground,quagsire
230,Synchronize,Espeon,58.4,Espeon,Bug Dark Ghost,196,35,espeon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/196.png,psychic,espeon
231,Synchronize,Umbreon,59.5,Umbreon,Fighting Bug Fairy,197,39,umbreon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/197.png,dark,umbreon
232,InsomniaSuper Luck,Murkrow,4.6,Murkrow,Electric Ice Rock Fairy,198,20,murkrow,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/198.png,dark flying,murkrow
233,ObliviousOwn Tempo,Slowking,175.3,Slowking,Bug Dark Electric Ghost Grass,199,79,slowking,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/199.png,water psychic,slowking
234,Levitate,Misdreavus,2.2,Misdreavus,Dark Ghost,200,28,misdreavus,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/200.png,ghost,misdreavus
235,Levitate,Unown,11,Unown,Bug Dark Ghost,201,20,unown,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/201.png,psychic,unown
236,Shadow Tag,Wobbuffet,62.8,Wobbuffet,Bug Dark Ghost,202,51,wobbuffet,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/202.png,psychic,wobbuffet
237,Early BirdInner Focus,Girafarig,91.5,Girafarig,Bug Dark,203,59,girafarig,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/203.png,normal psychic,girafarig
238,Sturdy,Pineco,15.9,Pineco,Fire Flying Rock,204,24,pineco,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/204.png,bug,pineco
239,Sturdy,Forretress,277.3,Forretress,Fire,205,47,forretress,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/205.png,bug steel,forretress
240,Run AwaySerene Grace,Dunsparce,30.9,Dunsparce,Fighting,206,59,dunsparce,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/206.png,normal,dunsparce
241,Hyper CutterSand Veil,Gligar,142.9,Gligar,Ice Water,207,43,gligar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/207.png,ground flying,gligar
242,Sand Force,Steelix,1631.4,Steelix,Fire Water Fighting Ground,208,413,steelix,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/208.png,steel ground,steelix
243,Rock HeadSturdy,Steelix,881.8,Steelix,Fighting Fire Ground Water,208,362,steelix,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/208.png,steel ground,steelix
244,IntimidateRun Away,Snubbull,17.2,Snubbull,Steel Poison,209,24,snubbull,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/209.png,fairy,snubbull
245,IntimidateQuick Feet,Granbull,107.4,Granbull,Steel Poison,210,55,granbull,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/210.png,fairy,granbull
246,Poison PointSwift Swim,Qwilfish,8.6,Qwilfish,Electric Ground Psychic,211,20,qwilfish,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/211.png,water poison,qwilfish
247,Technician,Scizor,275.6,Scizor,Fire,212,79,scizor,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/212.png,bug steel,scizor
248,SwarmTechnician,Scizor,260.1,Scizor,Fire,212,71,scizor,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/212.png,bug steel,scizor
249,GluttonySturdy,Shuckle,45.2,Shuckle,Rock Steel Water,213,24,shuckle,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/213.png,bug rock,shuckle
250,Skill Link,Heracross,137.8,Heracross,Fire Psychic Flying Fairy,214,67,heracross,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/214.png,bug fighting,heracross
251,GutsSwarm,Heracross,119,Heracross,Flying Fire Psychic Fairy,214,59,heracross,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/214.png,bug fighting,heracross
252,Inner FocusKeen Eye,Sneasel,61.7,Sneasel,Fighting Bug Fire Rock Steel Fairy,215,35,sneasel,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/215.png,dark ice,sneasel
253,PickupQuick Feet,Teddiursa,19.4,Teddiursa,Fighting,216,24,teddiursa,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/216.png,normal,teddiursa
254,GutsQuick Feet,Ursaring,277.3,Ursaring,Fighting,217,71,ursaring,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/217.png,normal,ursaring
255,Flame BodyMagma Armor,Slugma,77.2,Slugma,Ground Rock Water,218,28,slugma,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/218.png,fire,slugma
256,Flame BodyMagma Armor,Magcargo,121.3,Magcargo,Ground Water Fighting Rock,219,31,magcargo,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/219.png,fire rock,magcargo
257,ObliviousSnow Cloak,Swinub,14.3,Swinub,Fighting Fire Grass Steel Water,220,16,swinub,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/220.png,ice ground,swinub
258,ObliviousSnow Cloak,Piloswine,123,Piloswine,Fighting Fire Grass Steel Water,221,43,piloswine,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/221.png,ice ground,piloswine
259,HustleNatural Cure,Corsola,11,Corsola,Grass Electric Fighting Ground,222,24,corsola,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/222.png,water rock,corsola
260,HustleSniper,Remoraid,26.5,Remoraid,Electric Grass,223,24,remoraid,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/223.png,water,remoraid
261,SniperSuction Cups,Octillery,62.8,Octillery,Electric Grass,224,35,octillery,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/224.png,water,octillery
262,HustleVital Spirit,Delibird,35.3,Delibird,Rock Electric Fire Steel,225,35,delibird,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/225.png,ice flying,delibird
263,Swift SwimWater Absorb,Mantine,485,Mantine,Electric Rock,226,83,mantine,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/226.png,water flying,mantine
264,Keen EyeSturdy,Skarmory,111.3,Skarmory,Electric Fire,227,67,skarmory,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/227.png,steel flying,skarmory
265,Early BirdFlash Fire,Houndour,23.8,Houndour,Fighting Ground Rock Water,228,24,houndour,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/228.png,dark fire,houndour
266,Solar Power,Houndoom,109.1,Houndoom,Fighting Water Rock Ground,229,75,houndoom,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/229.png,dark fire,houndoom
267,Early BirdFlash Fire,Houndoom,77.2,Houndoom,Fighting Ground Rock Water,229,55,houndoom,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/229.png,dark fire,houndoom
268,SniperSwift Swim,Kingdra,335.1,Kingdra,Dragon Fairy,230,71,kingdra,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/230.png,water dragon,kingdra
269,Pickup,Phanpy,73.9,Phanpy,Grass Ice Water,231,20,phanpy,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/231.png,ground,phanpy
270,Sturdy,Donphan,264.6,Donphan,Grass Ice Water,232,43,donphan,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/232.png,ground,donphan
271,DownloadTrace,Porygon2,71.6,Porygon2,Fighting,233,24,porygon2,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/233.png,normal,porygon2
272,FriskIntimidate,Stantler,157,Stantler,Fighting,234,55,stantler,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/234.png,normal,stantler
273,Own TempoTechnician,Smeargle,127.9,Smeargle,Fighting,235,47,smeargle,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/235.png,normal,smeargle
274,GutsSteadfast,Tyrogue,46.3,Tyrogue,Flying Psychic Fairy,236,28,tyrogue,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/236.png,fighting,tyrogue
275,IntimidateTechnician,Hitmontop,105.8,Hitmontop,Flying Psychic Fairy,237,55,hitmontop,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/237.png,fighting,hitmontop
276,ForewarnOblivious,Smoochum,13.2,Smoochum,Bug Dark Fire Ghost Rock Steel,238,16,smoochum,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/238.png,ice psychic,smoochum
277,Static,Elekid,51.8,Elekid,Ground,239,24,elekid,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/239.png,electric,elekid
278,Flame Body,Magby,47.2,Magby,Ground Rock Water,240,28,magby,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/240.png,fire,magby
279,ScrappyThick Fat,Miltank,166.4,Miltank,Fighting,241,47,miltank,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/241.png,normal,miltank
280,Natural CureSerene Grace,Blissey,103.2,Blissey,Fighting,242,59,blissey,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/242.png,normal,blissey
281,Pressure,Raikou,392.4,Raikou,Ground,243,75,raikou,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/243.png,electric,raikou
282,Pressure,Entei,436.5,Entei,Ground Rock Water,244,83,entei,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/244.png,fire,entei
283,Pressure,Suicune,412.3,Suicune,Electric Grass,245,79,suicune,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/245.png,water,suicune
284,Guts,Larvitar,158.7,Larvitar,Grass Water Fighting Ground Ice Steel,246,24,larvitar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/246.png,rock ground,larvitar
285,Shed Skin,Pupitar,335.1,Pupitar,Grass Water Fighting Ground Ice Steel,247,47,pupitar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/247.png,rock ground,pupitar
286,Sand Stream,Tyranitar,562.2,Tyranitar,Steel Fighting Water Fairy Grass Bug Ground,248,98,tyranitar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/248.png,rock dark,tyranitar
287,Sand Stream,Tyranitar,445.3,Tyranitar,Fighting Bug Grass Ground Steel Water Fairy,248,79,tyranitar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/248.png,rock dark,tyranitar
288,Pressure,Lugia,476.2,Lugia,Dark Electric Ghost Ice Rock,249,205,lugia,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/249.png,psychic flying,lugia
289,Pressure,Ho-Oh,438.7,Ho-Oh,Rock Electric Water,250,150,ho-oh,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/250.png,fire flying,ho-oh
290,Natural Cure,Celebi,11,Celebi,Bug Dark Fire Flying Ghost Ice Poison,251,24,celebi,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/251.png,psychic grass,celebi
291,Overgrow,Treecko,11,Treecko,Bug Fire Flying Ice Poison,252,20,treecko,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/252.png,grass,treecko
292,Overgrow,Grovyle,47.6,Grovyle,Bug Fire Flying Ice Poison,253,35,grovyle,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/253.png,grass,grovyle
293,Lightning Rod,Sceptile,121.7,Sceptile,Flying Poison Dragon Ice Fairy Bug,254,75,sceptile,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/254.png,grass dragon,sceptile
294,Overgrow,Sceptile,115.1,Sceptile,Bug Fire Flying Ice Poison,254,67,sceptile,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/254.png,grass,sceptile
295,Blaze,Torchic,5.5,Torchic,Ground Rock Water,255,16,torchic,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/255.png,fire,torchic
296,Blaze,Combusken,43,Combusken,Flying Ground Psychic Water,256,35,combusken,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/256.png,fire fighting,combusken
297,Speed Boost,Blaziken,114.6,Blaziken,Psychic Flying Water Ground,257,75,blaziken,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/257.png,fire fighting,blaziken
298,Blaze,Blaziken,114.6,Blaziken,Flying Ground Psychic Water,257,75,blaziken,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/257.png,fire fighting,blaziken
299,Torrent,Mudkip,16.8,Mudkip,Electric Grass,258,16,mudkip,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/258.png,water,mudkip
300,Torrent,Marshtomp,61.7,Marshtomp,Grass,259,28,marshtomp,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/259.png,water ground,marshtomp
